2019-06-18 09:51:19,727  WARN JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration:237 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-06-18 09:51:20,196  INFO cluster:71 - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-06-18 09:51:20,254  INFO connection:71 - Opened connection [connectionId{localValue:1, serverValue:40}] to localhost:27017
2019-06-18 09:51:20,256  INFO cluster:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 21]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=1086196}
2019-06-18 09:51:21,128  INFO ThreadPoolTaskExecutor:171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-06-18 09:51:21,448  INFO DocumentationPluginsBootstrapper:80 - Context refreshed
2019-06-18 09:51:21,465  INFO DocumentationPluginsBootstrapper:83 - Found {0} custom documentation plugin(s)
2019-06-18 09:51:21,476  INFO ApiListingReferenceScanner:53 - Scanning for api listing references
2019-06-18 09:51:21,480  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method hello was main-controller
2019-06-18 09:51:21,483  INFO ApiListingReferenceScanner:72 - Request mapping: hello belongs to groups: [[ResourceGroup{groupName='main-controller', position=0, controller=com.sqlva.springboot.controller.MainController}]] 
2019-06-18 09:51:21,484  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,484  INFO ApiListingReferenceScanner:72 - Request mapping: json belongs to groups: [[ResourceGroup{groupName='error-controller', position=0, controller=com.sqlva.springboot.controller.ErrorController}]] 
2019-06-18 09:51:21,485  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method delete was user-controller
2019-06-18 09:51:21,485  INFO ApiListingReferenceScanner:72 - Request mapping: delete belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.sqlva.springboot.controller.UserController}]] 
2019-06-18 09:51:21,485  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method updateUser was user-controller
2019-06-18 09:51:21,486  INFO ApiListingReferenceScanner:72 - Request mapping: updateUser belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.sqlva.springboot.controller.UserController}]] 
2019-06-18 09:51:21,486  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method getUser was user-controller
2019-06-18 09:51:21,487  INFO ApiListingReferenceScanner:72 - Request mapping: getUser belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.sqlva.springboot.controller.UserController}]] 
2019-06-18 09:51:21,487  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method addUser was user-controller
2019-06-18 09:51:21,487  INFO ApiListingReferenceScanner:72 - Request mapping: addUser belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.sqlva.springboot.controller.UserController}]] 
2019-06-18 09:51:21,488  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method getUsers was user-controller
2019-06-18 09:51:21,488  INFO ApiListingReferenceScanner:72 - Request mapping: getUsers belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.sqlva.springboot.controller.UserController}]] 
2019-06-18 09:51:21,492  INFO ApiListingReferenceScanner:84 - Created resource listing Path: /default/main-controller Description: main-controller Position: 0
2019-06-18 09:51:21,493  INFO ApiListingReferenceScanner:84 - Created resource listing Path: /default/user-controller Description: user-controller Position: 0
2019-06-18 09:51:21,493  INFO ApiListingReferenceScanner:84 - Created resource listing Path: /default/error-controller Description: error-controller Position: 0
2019-06-18 09:51:21,508  INFO ModelContextKeyGenerator:46 - Cache Key Generated: java.lang.String(true)
2019-06-18 09:51:21,508  INFO CachingAspect:79 - Caching aspect applied for cache models with key java.lang.String(true)
2019-06-18 09:51:21,513  INFO ModelContextKeyGenerator:46 - Cache Key Generated: java.lang.String(true)
2019-06-18 09:51:21,513  INFO CachingAspect:79 - Caching aspect applied for cache modelDependencies with key java.lang.String(true)
2019-06-18 09:51:21,519  INFO OperationsKeyGenerator:51 - Cache key generated: /json.com.sqlva.springboot.controller.ErrorController.json.DefaultGenericTypeNamingStrategy
2019-06-18 09:51:21,519  INFO CachingAspect:68 - Caching aspect applied for cache operations with key /json.com.sqlva.springboot.controller.ErrorController.json.DefaultGenericTypeNamingStrategy
2019-06-18 09:51:21,527  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,529  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,532  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,533  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,534  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,535  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,535  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,536  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,537  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,538  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,538  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,539  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,540  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,541  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,542  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,542  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method json was error-controller
2019-06-18 09:51:21,555  INFO ModelContextKeyGenerator:46 - Cache Key Generated: java.lang.String(true)
2019-06-18 09:51:21,555  INFO CachingAspect:79 - Caching aspect applied for cache models with key java.lang.String(true)
2019-06-18 09:51:21,555  INFO ModelContextKeyGenerator:46 - Cache Key Generated: java.lang.String(true)
2019-06-18 09:51:21,555  INFO CachingAspect:79 - Caching aspect applied for cache modelDependencies with key java.lang.String(true)
2019-06-18 09:51:21,556  INFO OperationsKeyGenerator:51 - Cache key generated: /helloworld.com.sqlva.springboot.controller.MainController.hello.DefaultGenericTypeNamingStrategy
2019-06-18 09:51:21,556  INFO CachingAspect:68 - Caching aspect applied for cache operations with key /helloworld.com.sqlva.springboot.controller.MainController.hello.DefaultGenericTypeNamingStrategy
2019-06-18 09:51:21,561  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method hello was main-controller
2019-06-18 09:51:21,562  INFO ClassOrApiAnnotationResourceGrouping:100 - Group for method hello was main-controller
2019-06-18 09:51:21,565  INFO ModelContextKeyGenerator:46 - Cache Key Generated: java.lang.String(true)
2019-06-18 09:51:21,565  INFO CachingAspect:79 - Caching aspect applied for cache models with key java.lang.String(true)
